"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 2,  0.6599,  0.4040, -0.4491673E+00, -0.4491673E+00, -0.2629357E+01, -0.2629354E+01, -0.5138417E+01, -0.5146957E+01
 2,  0.6668,  0.4040, -0.4668610E+00, -0.4668610E+00, -0.2597302E+01, -0.2597298E+01, -0.5075772E+01, -0.5084209E+01
 2,  0.6726,  0.4040, -0.4814575E+00, -0.4814575E+00, -0.2569608E+01, -0.2569605E+01, -0.5021653E+01, -0.5029995E+01
 2,  0.6774,  0.4040, -0.4934771E+00, -0.4934772E+00, -0.2545929E+01, -0.2545925E+01, -0.4975377E+01, -0.4983670E+01
 2,  0.6814,  0.4040, -0.5033613E+00, -0.5033611E+00, -0.2525847E+01, -0.2525843E+01, -0.4936132E+01, -0.4944185E+01
 2,  0.6847,  0.4040, -0.5114812E+00, -0.5114822E+00, -0.2508928E+01, -0.2508924E+01, -0.4903069E+01, -0.4912309E+01
 2,  0.6874,  0.4040, -0.5181466E+00, -0.5181404E+00, -0.2494750E+01, -0.2494746E+01, -0.4875361E+01, -0.4874389E+01
 2,  0.6897,  0.4040, -0.5236148E+00, -0.5236592E+00, -0.2482920E+01, -0.2482916E+01, -0.4852242E+01, -0.4947138E+01
 2,  0.6915,  0.4040, -0.5280989E+00, -0.5277297E+00, -0.2473083E+01, -0.2473080E+01, -0.4833019E+01, -0.3881306E+01
 2,  0.6930,  0.4040, -0.5317747E+00, -0.5353591E+00, -0.2464928E+01, -0.2464924E+01, -0.4817081E+01, -0.1710682E+02
 2,  0.6943,  0.4040, -0.5347872E+00, -0.4937984E+00, -0.2458181E+01, -0.2458178E+01, -0.4803897E+01,  0.1776537E+03
 2,  0.6953,  0.4040, -0.5372555E+00, -0.1096210E+01, -0.2452611E+01, -0.2452608E+01, -0.4793012E+01, -0.3184468E+04
 2,  0.7032,  0.4040, -0.5560308E+00, -0.5251242E+00, -0.2408965E+01, -0.2408962E+01, -0.4707717E+01, -0.2827307E+03
 2,  0.7051,  0.4040, -0.5605632E+00, -0.5607674E+00, -0.2398082E+01, -0.2398079E+01, -0.4686449E+01, -0.4096694E+01
 2,  0.7082,  0.4040, -0.5676954E+00, -0.5676891E+00, -0.2380676E+01, -0.2380673E+01, -0.4652432E+01, -0.4668242E+01
 2,  0.7130,  0.4040, -0.5787668E+00, -0.5787673E+00, -0.2352957E+01, -0.2352954E+01, -0.4598263E+01, -0.4605570E+01
 2,  0.7204,  0.4040, -0.5955898E+00, -0.5955897E+00, -0.2309153E+01, -0.2309149E+01, -0.4512658E+01, -0.4520185E+01
 2,  0.7315,  0.4040, -0.6203191E+00, -0.6203192E+00, -0.2240840E+01, -0.2240837E+01, -0.4379157E+01, -0.4386432E+01
 2,  0.7477,  0.4040, -0.6548895E+00, -0.6548894E+00, -0.2136740E+01, -0.2136737E+01, -0.4175720E+01, -0.4182660E+01
 2,  0.7700,  0.4040, -0.6997875E+00, -0.6997875E+00, -0.1984169E+01, -0.1984166E+01, -0.3877559E+01, -0.3884004E+01
